hosp,procs,procCount,infCount,sir,ci-low,ci-high,comp
ALAMEDA COUNTY MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"ALAMEDA COUNTY MED CTR, OAKLAND",Abdominal Aortic Aneurysm Repair,,,,,,
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",Abdominal Aortic Aneurysm Repair,,,,,,
"ALTA LOS ANGELES HOSPS, INC.",Abdominal Aortic Aneurysm Repair,<20,,,,,
LOS ANGELES COMMUNITY HOSP,Abdominal Aortic Aneurysm Repair,,,,,,
NORWALK COMMUNITY HOSP,Abdominal Aortic Aneurysm Repair,,,,,,
"ALVARADO HOSP, LLC",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",Abdominal Aortic Aneurysm Repair,,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",Abdominal Aortic Aneurysm Repair,,,,,,
"ANTELOPE VALLEY HOSP, LANCASTER",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ARROWHEAD RGN MED CTR, COLTON",Abdominal Aortic Aneurysm Repair,<20,,,,,
BAKERSFIELD HEART HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
BAKERSFIELD MEMORIAL HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
"CEDARS-SINAI MED CTR, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
"CENTINELA HOSP MED CTR, INGLEWOOD",Abdominal Aortic Aneurysm Repair,<20,,,,,
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,Abdominal Aortic Aneurysm Repair,<20,,,,,
CHILDRENS HOSP OF LOS ANGELES,Abdominal Aortic Aneurysm Repair,20,0,,,,
"CITRUS VALLEY MED CTR, INC.",Abdominal Aortic Aneurysm Repair,<20,,,,,
"CITRUS VALLEY MED CTR, IC , COVINA",Abdominal Aortic Aneurysm Repair,,,,,,
"CITRUS VALLEY MED CTR, QV, WEST COVINA",Abdominal Aortic Aneurysm Repair,,,,,,
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",Abdominal Aortic Aneurysm Repair,<20,,,,,
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",Abdominal Aortic Aneurysm Repair,21,0,,,,
COUNTY OF VENTURA,Abdominal Aortic Aneurysm Repair,<20,,,,,
VENTURA COUNTY MED CTR,Abdominal Aortic Aneurysm Repair,,,,,,
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",Abdominal Aortic Aneurysm Repair,,,,,,
"DAMERON HOSP, STOCKTON",Abdominal Aortic Aneurysm Repair,<20,,,,,
"DESERT REGIONAL MED CTR, PALM SPRINGS",Abdominal Aortic Aneurysm Repair,63,0,0,0.00,2.98,N.D.
DIGNITY HEALTH,Abdominal Aortic Aneurysm Repair,<20,,,,,
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",Abdominal Aortic Aneurysm Repair,,,,,,
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",Abdominal Aortic Aneurysm Repair,,,,,,
DIGNITY HEALTH,Abdominal Aortic Aneurysm Repair,<20,,,,,
"MERCY HOSP, BAKERSFIELD",Abdominal Aortic Aneurysm Repair,,,,,,
"MERCY SOUTHWEST HOSP, BAKERSFIELD",Abdominal Aortic Aneurysm Repair,,,,,,
"DOCTORS MED CTR, MODESTO",Abdominal Aortic Aneurysm Repair,<20,,,,,
DOWNEY REGIONAL MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"EISENHOWER MED CTR, RANCHO MIRAGE",Abdominal Aortic Aneurysm Repair,<20,,,,,
EL CAMINO HOSP,Abdominal Aortic Aneurysm Repair,,,,,,
"EL CAMINO HOSP, MOUNTAIN VIEW",Abdominal Aortic Aneurysm Repair,<20,,,,,
"EMANUEL MED CTR INC, TURLOCK",Abdominal Aortic Aneurysm Repair,<20,,,,,
ENLOE MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"ENLOE MED CTR-COHASSET, CHICO",Abdominal Aortic Aneurysm Repair,,,,,,
"ENLOE MED CTR-ESPLANADE, CHICO",Abdominal Aortic Aneurysm Repair,,,,,,
"ENLOE REHABILITATION CTR, CHICO",Abdominal Aortic Aneurysm Repair,,,,,,
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL,",Abdominal Aortic Aneurysm Repair,,,,,,
GLENDORA,Abdominal Aortic Aneurysm Repair,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Abdominal Aortic Aneurysm Repair,20,0,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Abdominal Aortic Aneurysm Repair,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Abdominal Aortic Aneurysm Repair,,,,,,
GLENDALE MEMORIAL HOSP AND HEALTH CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"GOOD SAMARITAN HOSP, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
"GOOD SAMARITAN HOSP, LP",Abdominal Aortic Aneurysm Repair,<20,,,,,
"MISSION OAKS HOSP, LOS GATOS",Abdominal Aortic Aneurysm Repair,,,,,,
"GOOD SAMARITAN HOSP, SAN JOSE",Abdominal Aortic Aneurysm Repair,,,,,,
HEMET VALLEY MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",Abdominal Aortic Aneurysm Repair,<20,,,,,
"HOAG HOSPITAL, IRVINE",Abdominal Aortic Aneurysm Repair,,,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",Abdominal Aortic Aneurysm Repair,,,,,,
"HUNTINGTON MEMORIAL HOSP, PASADENA",Abdominal Aortic Aneurysm Repair,26,1,,,,
"JOHN MUIR MED CTR, CONCORD",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, ANTIOCH",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, BALDWIN PARK",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, PANORAMA CITY",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, RIVERSIDE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, ROSEVILLE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, SACRAMENTO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, SAN DIEGO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, SAN FRANCISCO",Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSP-SAN JOSE,Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSP-SANTA CLARA,Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, SANTA ROSA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSP-WALNUT CREEK,Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, WOODLAND HILLS",Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSPS,Abdominal Aortic Aneurysm Repair,,,,,,
"KAISER FOUNDATION HOSP, IRVINE",Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSPS,Abdominal Aortic Aneurysm Repair,,,,,,
"KAISER FOUNDATION HOSP, FONTANA",Abdominal Aortic Aneurysm Repair,<20,,,,,
KAISER FOUNDATION HOSPS,Abdominal Aortic Aneurysm Repair,<20,,,,,
