hosp,procs,procCount,infCount,sir,ci-low,ci-high,comp
ADVENTIST HEALTH SYSTEMS,Hip Prosthesis Surgery,124,1,0.77,0.02,4.30,N.D.
"ADVENTIST MED CTR, HANFORD",Hip Prosthesis Surgery,,,,,,
ADVENTIST MED CTR-SELMA,Hip Prosthesis Surgery,,,,,,
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",Hip Prosthesis Surgery,87,0,0.00,0.00,3.66,N.D.
ALAMEDA COUNTY MED CTR,Hip Prosthesis Surgery,53,0,,,,
"ALAMEDA COUNTY MED CTR, OAKLAND",Hip Prosthesis Surgery,,,,,,
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",Hip Prosthesis Surgery,,,,,,
ALAMEDA HOSP,Hip Prosthesis Surgery,26,0,,,,
ALHAMBRA HOSP MED CTR,Hip Prosthesis Surgery,<20,,,,,
"ALTA LOS ANGELES HOSPS, INC.",Hip Prosthesis Surgery,<20,,,,,
LOS ANGELES COMMUNITY HOSP,Hip Prosthesis Surgery,,,,,,
NORWALK COMMUNITY HOSP,Hip Prosthesis Surgery,,,,,,
"ALVARADO HOSP, LLC",Hip Prosthesis Surgery,54,1,,,,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",Hip Prosthesis Surgery,,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",Hip Prosthesis Surgery,,,,,,
ANAHEIM GENERAL HOSP,Hip Prosthesis Surgery,<20,,,,,
"ANTELOPE VALLEY HOSP, LANCASTER",Hip Prosthesis Surgery,174,1,0.54,0.01,3.01,N.D.
"ARROWHEAD RGN MED CTR, COLTON",Hip Prosthesis Surgery,63,2,1.66,0.20,6.00,N.D.
BAKERSFIELD HEART HOSP,Hip Prosthesis Surgery,<20,,,,,
BAKERSFIELD MEMORIAL HOSP,Hip Prosthesis Surgery,102,0,0.00*,0.00,3.97,N.D.*
BARSTOW COMMUNITY HOSP,Hip Prosthesis Surgery,<20,,,,,
"BARTON MEMORIAL HOSP, SOUTH LAKE TAHOE",Hip Prosthesis Surgery,48,0,,,,
BELLFLOWER MED CTR,Hip Prosthesis Surgery,<20,,,,,
"BEVERLY HOSP, MONTEBELLO",Hip Prosthesis Surgery,36,0,,,,
"CALIFORNIA HOSP MED CTR, LOS ANGELES",Hip Prosthesis Surgery,48,0,,,,
"CALIFORNIA PACIFIC MED CTR, ST LUKE'S CAMPUS,",Hip Prosthesis Surgery,,,,,,
SAN FRANCISCO,Hip Prosthesis Surgery,,,,,,
"CEDARS-SINAI MED CTR, LOS ANGELES",Hip Prosthesis Surgery,940,11,1.20,0.60,2.15,N.D.
"CENTINELA HOSP MED CTR, INGLEWOOD",Hip Prosthesis Surgery,41,0,,,,
"CHAPMAN MED CTR, ORANGE",Hip Prosthesis Surgery,<20,,,,,
CHILDRENS HOSP OF LOS ANGELES,Hip Prosthesis Surgery,<20,,,,,
"CHINESE HOSP, SAN FRANCISCO",Hip Prosthesis Surgery,37,0,,,,
"CHINO VALLEY MED CTR, CHINO",Hip Prosthesis Surgery,<20,,,,,
"CITRUS VALLEY MED CTR, INC.",Hip Prosthesis Surgery,133,1,0.79,0.02,4.43,N.D.
"CITRUS VALLEY MED CTR, IC , COVINA",Hip Prosthesis Surgery,,,,,,
"CITRUS VALLEY MED CTR, QV, WEST COVINA",Hip Prosthesis Surgery,,,,,,
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",Hip Prosthesis Surgery,<20,,,,,
CLOVIS COMMUNITY MED CTR,Hip Prosthesis Surgery,46,0,,,,
"COAST PLAZA HOSP, NORWALK",Hip Prosthesis Surgery,<20,,,,,
"COASTAL COMMUNITIES HOSP, SANTA ANA",Hip Prosthesis Surgery,<20,,,,,
COMMUNITY AND MISSION HOSP OF HUNTINGTON PARK,Hip Prosthesis Surgery,<20,,,,,
COMMUNITY HOSP LONG BEACH,Hip Prosthesis Surgery,<20,,,,,
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",Hip Prosthesis Surgery,228,2,1.00,0.12,3.61,N.D.
COMMUNITY HOSP OF SAN BERNARDINO,Hip Prosthesis Surgery,<20,,,,,
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",Hip Prosthesis Surgery,229,1,0.41,0.01,2.29,N.D.
"COMMUNITY REGIONAL MED CTR, FRESNO",Hip Prosthesis Surgery,202,7,2.80,1.12,5.76,High
COUNTY OF VENTURA,Hip Prosthesis Surgery,66,1,,,,
VENTURA COUNTY MED CTR,Hip Prosthesis Surgery,,,,,,
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",Hip Prosthesis Surgery,,,,,,
"DAMERON HOSP, STOCKTON",Hip Prosthesis Surgery,193,3,1.59,0.33,4.64,N.D.
DELANO REGIONAL MED CTR,Hip Prosthesis Surgery,<20,,,,,
"DESERT REGIONAL MED CTR, PALM SPRINGS",Hip Prosthesis Surgery,294,1,0.51,0.01,2.86,N.D.
"DESERT VALLEY HOSP, VICTORVILLE",Hip Prosthesis Surgery,<20,,,,,
DIGNITY HEALTH,Hip Prosthesis Surgery,175,0,0.00,0.00,3.61,N.D.
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",Hip Prosthesis Surgery,,,,,,
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",Hip Prosthesis Surgery,,,,,,
DIGNITY HEALTH,Hip Prosthesis Surgery,112,0,0.00,0.00,3.62,N.D.
"MERCY HOSP, BAKERSFIELD",Hip Prosthesis Surgery,,,,,,
"MERCY SOUTHWEST HOSP, BAKERSFIELD",Hip Prosthesis Surgery,,,,,,
DOCTORS HOSP OF MANTECA,Hip Prosthesis Surgery,36,0,,,,
"DOCTORS HOSP OF WEST COVINA, INC, WEST COVINA",Hip Prosthesis Surgery,<20,,,,,
"DOCTORS MED CTR, MODESTO",Hip Prosthesis Surgery,149,2,1.33,0.16,4.79,N.D.
"DOCTORS MED CTR, SAN PABLO",Hip Prosthesis Surgery,59,0,,,,
DOWNEY REGIONAL MED CTR,Hip Prosthesis Surgery,101,2,1.68,0.20,6.06,N.D.
"EAST LOS ANGELES DOCTORS HOSP, LOS ANGELES",Hip Prosthesis Surgery,<20,,,,,
"EAST VALLEY HOSP MED CTR, GLENDORA",Hip Prosthesis Surgery,<20,,,,,
"EISENHOWER MED CTR, RANCHO MIRAGE",Hip Prosthesis Surgery,401,1,0.31,0.01,1.71,N.D.
EL CAMINO HOSP,Hip Prosthesis Surgery,,,,,,
"EL CAMINO HOSP, LOS GATOS",Hip Prosthesis Surgery,74,1,,,,
"EL CAMINO HOSP, MOUNTAIN VIEW",Hip Prosthesis Surgery,288,2,0.70,0.09,2.54,N.D.
"EMANUEL MED CTR INC, TURLOCK",Hip Prosthesis Surgery,61,2,,,,
"ENCINO HOSP MED CTR, ENCINO",Hip Prosthesis Surgery,<20,,,,,
ENLOE MED CTR,Hip Prosthesis Surgery,193,0,0.00,0.00,1.98,N.D.
"ENLOE MED CTR-COHASSET, CHICO",Hip Prosthesis Surgery,,,,,,
"ENLOE MED CTR-ESPLANADE, CHICO",Hip Prosthesis Surgery,,,,,,
"ENLOE REHABILITATION CTR, CHICO",Hip Prosthesis Surgery,,,,,,
"FAIRCHILD MED CTR, YREKA",Hip Prosthesis Surgery,29,0,,,,
FALLBROOK HOSP DISTRICT,Hip Prosthesis Surgery,62,0,,,,
"FEATHER RIVER HOSP, PARADISE",Hip Prosthesis Surgery,166,2,1.61,0.20,5.82,N.D.
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL,",Hip Prosthesis Surgery,,,,,,
GLENDORA,Hip Prosthesis Surgery,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Hip Prosthesis Surgery,151,2,1.59,0.19,5.74,N.D.
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Hip Prosthesis Surgery,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Hip Prosthesis Surgery,,,,,,
"FRANK R. HOWARD MEMORIAL HOSP, WILLITS",Hip Prosthesis Surgery,112,0,0.00*,0.00,3.89,N.D.*
FREMONT-RIDEOUT HEALTH GROUP,Hip Prosthesis Surgery,53,1,,,,
"FREMONT MED CTR, YUBA CITY",Hip Prosthesis Surgery,,,,,,
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",Hip Prosthesis Surgery,,,,,,
"FRENCH HOSP MED CTR, SAN LUIS OBISPO",Hip Prosthesis Surgery,198,0,0.00,0.00,3.53,N.D.
FRESNO SURGICAL HOSP,Hip Prosthesis Surgery,336,0,0.00,0.00,2.34,N.D.
GARDEN GROVE HOSP AND MED CTR,Hip Prosthesis Surgery,<20,,,,,
"GARFIELD MED CTR, MONTEREY PARK",Hip Prosthesis Surgery,33,0,,,,
"GEORGE L. MEE MEMORIAL HOSP, KING CITY",Hip Prosthesis Surgery,<20,,,,,
GLENDALE ADVENTIST MED CTR,Hip Prosthesis Surgery,163,0,0.00,0.00,1.75,N.D.
GLENDALE MEMORIAL HOSP AND HEALTH CTR,Hip Prosthesis Surgery,86,1,0.94,0.02,5.26,N.D.
"GOLETA VALLEY COTTAGE HOSP, SANTA BARBARA",Hip Prosthesis Surgery,249,0,0.00,0.00,2.48,N.D.
"GOOD SAMARITAN HOSP, LOS ANGELES",Hip Prosthesis Surgery,366,0,0.00,0.00,0.53,Low
"GOOD SAMARITAN HOSP, LP",Hip Prosthesis Surgery,266,0,0.00,0.00,1.73,N.D.
"MISSION OAKS HOSP, LOS GATOS",Hip Prosthesis Surgery,,,,,,
"GOOD SAMARITAN HOSP, SAN JOSE",Hip Prosthesis Surgery,,,,,,
"GROSSMONT HOSP, LA MESA",Hip Prosthesis Surgery,293,0,0.00,0.00,1.17,N.D.
"HAZEL HAWKINS MEMORIAL HOSP, HOLLISTER",Hip Prosthesis Surgery,<20,,,,,
HEALDSBURG DISTRICT HOSP,Hip Prosthesis Surgery,25,0,,,,
HEMET VALLEY MED CTR,Hip Prosthesis Surgery,121,2,1.66,0.20,6.00,N.D.
"HENRY MAYO NEWHALL MEMORIAL HOSP, VALENCIA",Hip Prosthesis Surgery,76,1,,,,
"HI-DESERT MED CTR, JOSHUA TREE",Hip Prosthesis Surgery,27,0,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",Hip Prosthesis Surgery,55,1,,,,
"HOAG HOSPITAL, IRVINE",Hip Prosthesis Surgery,,,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",Hip Prosthesis Surgery,,,,,,
HOAG ORTHOPEDIC HOSPITAL,Hip Prosthesis Surgery,1220,4,0.75,0.21,1.93,N.D.
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",Hip Prosthesis Surgery,32,0,,,,
